Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect
E0,1920,2019-11-10,Man United,Brighton,H,A,6.5,0.033024396220582286,0.1589268301877819,0.14758422066873028,0.0,-0.04070256565325314,-1.0,-1.053,-1.0,False
E0,2324,2024-01-30,Crystal Palace,Sheffield United,H,A,6.5,0.05029131336645576,0.16158327897945474,0.15215009039955862,0.0,-0.011024412402868888,-1.0,-1.053,-1.0,False
,2425,2025-04-27,Liverpool,Tottenham,H,A,11.0,0.0838036991722464,0.09852760901565875,0.06432383494017103,0.0,-0.29243781565811866,-1.0,-1.053,-1.0,False
,2526,2025-10-04,Arsenal,West Ham,H,A,17.0,0.047729581636649865,0.06163115186097941,0.0588578248713459,0.0,0.0005830228128802517,-1.0,-1.053,-1.0,False
E1,1920,2019-08-10,Leeds,Nott'm Forest,D,A,8.0,0.05448737322024533,0.13181092165253067,0.1439765614187055,0.0,0.15181249134964392,-1.0,-1.053,-1.0,False
E1,1920,2019-08-17,Brentford,Hull,D,A,5.5,0.048652370984235915,0.19066406745167927,0.19616296329207752,0.0,0.07889629810642629,-1.0,-1.053,-1.0,False
E1,1920,2019-10-05,Preston,Barnsley,H,A,6.0,0.04114075060269351,0.17352345843378225,0.16484471860520283,0.0,-0.010931688368782999,-1.0,-1.053,-1.0,False
E1,1920,2019-11-30,Leeds,Middlesbrough,H,A,12.0,0.03752006637504235,0.08646000553125353,0.06276946199022704,0.0,-0.24676645611727555,-1.0,-1.053,-1.0,False
E1,2021,2020-11-28,Norwich,Coventry,D,A,6.0,0.06907218428214223,0.17817869738035705,0.2542470354874558,0.0,0.525482212924735,-1.0,-1.053,-1.0,False
E1,2021,2021-02-06,Bournemouth,Birmingham,H,A,6.0,0.04291540034050567,0.1738192333900843,0.17557206856041868,0.0,0.05343241136251198,-1.0,-1.053,-1.0,False
E1,2122,2021-08-21,Fulham,Hull,H,A,9.5,0.08415446635464385,0.11412152277417305,0.09148345961295844,0.0,-0.13090713367689488,-1.0,-1.053,-1.0,False
E1,2122,2021-12-20,Fulham,Sheffield United,A,A,5.0,0.035623607550074876,0.20712472151001496,0.15597484419168478,1.0,-0.22012577904157604,4.0,3.947,3.96,False
E1,2122,2022-03-05,Middlesbrough,Luton,H,A,5.0,0.035066730329643914,0.2070133460659288,0.18936326659425048,0.0,-0.05318366702874755,-1.0,-1.053,-1.0,False
E1,2223,2022-11-05,Blackburn,Huddersfield,H,A,4.75,0.04828565227958648,0.22069171626938663,0.17937914351156742,0.0,-0.14794906832005472,-1.0,-1.053,-1.0,False
E1,2223,2023-04-10,West Brom,QPR,D,A,6.5,0.05432629560423452,0.16220404547757455,0.17714357192944818,0.0,0.15143321754141326,-1.0,-1.053,-1.0,False
E1,2324,2023-08-05,Middlesbrough,Millwall,A,A,4.33,0.0561532545993646,0.24391530129315578,0.2554421131230113,1.0,0.10606434982263901,3.33,3.277,3.2966999999999995,False
E1,2324,2023-08-06,Leeds,Cardiff,D,A,8.5,0.12952491420455292,0.13288528402406505,0.13849368539147758,0.0,0.1771963258275595,-1.0,-1.053,-1.0,False
E1,2324,2023-09-24,Sunderland,Cardiff,A,A,4.33,0.049148097172523775,0.24229748202598703,0.23485854784073862,1.0,0.016937512150398293,3.33,3.277,3.2966999999999995,False
E1,2324,2023-12-02,Birmingham,Rotherham,D,A,6.0,0.036641052726308576,0.17277350878771808,0.1639306013942612,0.0,-0.01641639163443287,-1.0,-1.053,-1.0,False
E1,2324,2023-12-26,Southampton,Swansea,H,A,7.5,0.04995933825866228,0.13999457843448831,0.12429220828560446,0.0,-0.06780843785796653,-1.0,-1.053,-1.0,False
E1,2324,2024-04-13,Leeds,Blackburn,A,A,10.0,0.05517069918374551,0.10551706991837455,0.09817356628127186,1.0,-0.018264337187281487,9.0,8.947,8.91,False
,2425,2025-03-01,Middlesbrough,Derby,H,A,5.5,0.033468286593918206,0.18790332483525785,0.1414750475046913,0.0,-0.2218872387241978,-1.0,-1.053,-1.0,False
,2526,2025-09-30,Birmingham,Sheffield Weds,D,A,7.5,0.049186689801086425,0.13989155864014485,0.12404987586646768,0.0,-0.06962593100149239,-1.0,-1.053,-1.0,False
,2526,2025-09-30,Middlesbrough,Stoke,D,A,4.5,0.07428261754717491,0.23872947056603885,0.20864789955367097,0.0,-0.06108445200848067,-1.0,-1.053,-1.0,False
D1,1920,2019-08-24,Hoffenheim,Werder Bremen,H,A,4.2,0.04502233252609722,0.24881484107764218,0.2817260088086714,0.0,0.18324923699641982,-1.0,-1.053,-1.0,False
